Date,Close,High,Low,Open,Volume,Daily_Return,SMA_20
2025-07-22,37249.42578125,37999.248681362566,36923.84478514849,37984.44954517613,26390,,
2025-07-23,37471.4140625,37550.34279143629,37012.64082555786,37293.824422393365,20844,0.005959508813736969,
2025-07-24,37402.3515625,37836.45957324914,37318.48978769618,37471.41420057372,19341,-0.0018430716248073464,
2025-07-25,37323.421875,37604.60546565226,37106.36787519825,37604.60546565226,17581,-0.002110286765475311,
2025-07-28,37723.0,38014.04969268994,37303.69112070093,37629.27213286256,37336,0.010705827733004547,
2025-07-29,39915.0,40120.0,37615.0,37700.0,89125,0.058107785701031256,
2025-07-30,40060.0,40415.0,39125.0,40000.0,100405,0.0036327195289991288,
2025-07-31,40385.0,40490.0,39325.0,39500.0,46071,0.008112830753869149,
2025-08-01,40390.0,40730.0,40105.0,40375.0,59925,0.00012380834468239676,
2025-08-04,41115.0,41280.0,40035.0,40150.0,66056,0.017949987620698105,
2025-08-05,40595.0,41290.0,39445.0,41145.0,114355,-0.012647452268028658,
2025-08-06,38255.0,40555.0,38150.0,40500.0,103119,-0.057642566818573715,
2025-08-07,38570.0,38750.0,37900.0,38225.0,54977,0.008234217749313766,
2025-08-08,38325.0,39150.0,38220.0,38570.0,32516,-0.006352087114337546,
2025-08-11,38710.0,39080.0,38320.0,38540.0,31256,0.010045662100456543,
2025-08-12,38610.0,39010.0,38540.0,39000.0,20383,-0.0025833118057349003,
2025-08-13,38660.0,38910.0,38510.0,38795.0,13806,0.0012950012950012635,
2025-08-14,38585.0,38950.0,38430.0,38880.0,23267,-0.0019399896533884853,
2025-08-18,39335.0,39895.0,38870.0,39000.0,28210,0.019437605287028648,
2025-08-19,39860.0,40245.0,39365.0,39495.0,25516,0.013346892080843942,38926.9806640625
2025-08-20,39935.0,40280.0,39830.0,39920.0,18625,0.0018815855494229705,39061.259375
2025-08-21,39475.0,40105.0,39360.0,40075.0,21473,-0.011518717916614518,39161.438671875
2025-08-22,39325.0,39780.0,39165.0,39725.0,14967,-0.0037998733375553817,39257.57109375
2025-08-25,39085.0,39535.0,38950.0,39325.0,33832,-0.0061029879211697,39345.65
2025-08-26,39510.0,39655.0,38800.0,39200.0,32640,0.0108737367276448,39435.0
2025-08-27,39510.0,39510.0,39510.0,39510.0,0,0.0,39414.75
2025-08-28,39225.0,39960.0,39070.0,39700.0,33810,-0.0072133637053910515,39373.0
2025-08-29,39960.0,40350.0,39060.0,39455.0,46252,0.01873804971319304,39351.75
2025-09-01,40785.0,40950.0,40010.0,40220.0,45616,0.02064564564564564,39371.5
2025-09-02,41315.0,41575.0,40675.0,40900.0,38339,0.012994973642270535,39381.5
2025-09-03,41100.0,41835.0,41000.0,41500.0,31045,-0.00520392109403367,39406.75
2025-09-04,40740.0,41660.0,40540.0,41660.0,27591,-0.008759124087591275,39531.0
2025-09-05,40910.0,41095.0,40755.0,41075.0,16404,0.004172803141875292,39648.0
2025-09-08,41355.0,41760.0,41000.0,41100.0,16171,0.010877536054754389,39799.5
2025-09-09,41495.0,41640.0,41095.0,41450.0,25999,0.0033853222101318803,39938.75
2025-09-10,41005.0,41945.0,40955.0,41700.0,29476,-0.011808651644776513,40058.5
2025-09-11,40655.0,41200.0,40400.0,41190.0,24790,-0.008535544445799292,40158.25
2025-09-12,39885.0,40890.0,39790.0,40780.0,24810,-0.018939859795843117,40223.25
2025-09-15,39445.0,40040.0,39260.0,40040.0,21503,-0.011031716184029094,40228.75
2025-09-16,39920.0,40050.0,39595.0,39605.0,34458,0.012042083914311164,40231.75
2025-09-17,39775.0,40190.0,39725.0,39995.0,29814,-0.0036322645290580713,40223.75
2025-09-18,39885.0,40060.0,39780.0,40000.0,19976,0.0027655562539283807,40244.25
2025-09-19,39790.0,40130.0,39400.0,39985.0,31662,-0.002381847812460869,40267.5
