Date,Close,High,Low,Open,Volume
2025-07-22,6583.02490234375,6654.698544105243,6549.676749579722,6654.698544105243,272172
2025-07-23,6622.84375,6648.725899030513,6586.011460995041,6610.898142755148,206835
2025-07-24,6588.5,6653.205371307698,6570.083855858578,6622.843620155625,183852
2025-07-25,6616.5,6652.0,6569.0,6598.0,179064
2025-07-28,6584.0,6713.5,6555.5,6616.5,155158
2025-07-29,6676.5,6688.0,6473.0,6580.0,207710
2025-07-30,6650.0,6733.5,6601.5,6643.5,226974
2025-07-31,6595.5,6662.5,6552.0,6556.0,208301
2025-08-01,6361.5,6598.0,6335.5,6598.0,467222
2025-08-04,6489.5,6513.5,6343.0,6372.0,351237
2025-08-05,6409.0,6530.5,6363.5,6489.5,377699
2025-08-06,6133.5,6449.0,6054.5,6410.5,984259
2025-08-07,6131.5,6174.5,5960.5,6150.0,1004420
2025-08-08,5914.5,6118.0,5893.5,6100.0,541367
2025-08-11,5992.0,6016.0,5856.5,5891.0,677693
2025-08-12,5961.0,6015.0,5947.0,5992.0,477759
2025-08-13,6100.5,6150.0,5970.0,5971.0,394932
2025-08-14,6132.5,6205.0,6091.0,6155.0,407062
2025-08-18,6164.5,6211.5,6092.5,6148.0,362833
2025-08-19,6079.5,6170.5,6075.0,6165.0,246497
2025-08-20,6005.0,6096.0,5952.5,6084.0,544008
2025-08-21,6028.0,6060.0,5988.0,6005.0,219909
2025-08-22,6151.5,6188.0,6088.0,6088.0,681524
2025-08-25,6248.5,6314.5,6204.0,6255.0,439686
2025-08-26,6190.5,6260.0,6120.0,6260.0,546739
2025-08-27,6190.5,6190.5,6190.5,6190.5,0
2025-08-28,6132.0,6275.0,6108.5,6275.0,415482
2025-08-29,6131.5,6177.5,6092.0,6132.0,283850
2025-09-01,6093.0,6135.0,6064.0,6131.5,192062
2025-09-02,6120.5,6148.5,6059.5,6093.0,307162
2025-09-03,6164.0,6188.0,6097.0,6145.0,281110
2025-09-04,6133.5,6197.5,6093.5,6163.0,294429
2025-09-05,6009.0,6177.5,6002.5,6133.5,213926
2025-09-08,6027.5,6066.0,5940.0,6029.0,519368
2025-09-09,6002.5,6050.0,5997.5,6025.0,254569
2025-09-10,6031.5,6043.0,5896.5,6015.0,810989
2025-09-11,6015.5,6075.0,5996.0,6035.0,258301
2025-09-12,6026.5,6083.5,6004.0,6025.0,487571
2025-09-15,6057.0,6065.5,5974.0,6011.0,152355
2025-09-16,6099.5,6175.0,6060.5,6125.0,285215
2025-09-17,6051.5,6138.5,6037.0,6089.0,413995
2025-09-18,6112.0,6129.5,6042.0,6052.0,480382
2025-09-19,6200.0,6280.0,6156.5,6187.0,734989
