Date,Close,High,Low,Open,Volume
2025-07-22,32345.0,32490.0,31500.0,31535.0,59832
2025-07-23,32115.0,32490.0,31555.0,32490.0,34639
2025-07-24,31745.0,32270.0,31665.0,32115.0,20833
2025-07-25,30950.0,31745.0,30770.0,31745.0,16681
2025-07-28,30695.0,31505.0,30455.0,31080.0,27460
2025-07-29,30410.0,30710.0,30110.0,30695.0,20699
2025-07-30,30590.0,30780.0,30225.0,30500.0,18682
2025-07-31,30810.0,31020.0,30390.0,30400.0,15010
2025-08-01,30675.0,31035.0,30540.0,30990.0,29448
2025-08-04,30645.0,31110.0,30120.0,30725.0,91108
2025-08-05,30205.0,30880.0,30000.0,30880.0,38269
2025-08-06,30570.0,30675.0,30100.0,30300.0,45369
2025-08-07,30655.0,30710.0,30180.0,30300.0,13398
2025-08-08,30415.0,30935.0,30330.0,30560.0,14155
2025-08-11,30640.0,30845.0,30350.0,30435.0,18515
2025-08-12,30410.0,30700.0,30355.0,30640.0,19839
2025-08-13,30410.0,30735.0,30250.0,30450.0,47546
2025-08-14,30400.0,30610.0,30230.0,30610.0,34703
2025-08-18,31340.0,31920.0,30755.0,31000.0,40018
2025-08-19,30905.0,31600.0,30640.0,31495.0,44452
2025-08-20,30690.0,31225.0,30620.0,31025.0,29464
2025-08-21,30605.0,30950.0,30400.0,30790.0,12148
2025-08-22,30005.0,30800.0,29910.0,30800.0,23082
2025-08-25,30015.0,30380.0,29940.0,30150.0,36110
2025-08-26,30110.0,30500.0,29680.0,30000.0,27970
2025-08-27,30110.0,30110.0,30110.0,30110.0,0
2025-08-28,29675.0,30155.0,29630.0,30150.0,32689
2025-08-29,29275.0,29930.0,29210.0,29795.0,63260
2025-09-01,29870.0,29975.0,29305.0,29350.0,37442
2025-09-02,29995.0,30155.0,29745.0,29900.0,23155
2025-09-03,29940.0,30275.0,29880.0,30100.0,23539
2025-09-04,29945.0,30750.0,29845.0,30380.0,25439
2025-09-05,30040.0,30100.0,29670.0,30100.0,16653
2025-09-08,30485.0,30655.0,29995.0,30000.0,12239
2025-09-09,30190.0,30660.0,30115.0,30500.0,22879
2025-09-10,29890.0,30520.0,29750.0,30300.0,34161
2025-09-11,29830.0,30100.0,29625.0,29925.0,20878
2025-09-12,29580.0,29935.0,29500.0,29850.0,21104
2025-09-15,29275.0,29800.0,29230.0,29800.0,25565
2025-09-16,29575.0,29900.0,29430.0,29500.0,40795
2025-09-17,29685.0,30190.0,29540.0,29780.0,47492
2025-09-18,29960.0,30025.0,29650.0,29880.0,36221
2025-09-19,29880.0,30145.0,29685.0,30145.0,62728
